time        CPU øC  GPU øC  CPU RPM  GPU RPM
22:29:33        53      50     3593     3272
22:29:34        53      50     3581     3307
22:29:35        53      50     3605     3291
22:29:36        53      50     3593     3297
22:29:37        53      50     3593     3307
22:29:38        53      50     3611     3302
22:29:39        53      50     3593     3286
22:29:40        53      50     3611     3307
22:29:41        51      50     3617     3307
22:29:42        51      50     3593     3291
22:29:43        51      50     3569     3307
22:29:44        51      50     3593     3281
22:29:45        51      50     3581     3317
22:29:46        51      50     3617     3307
22:29:47        51      50     3593     3317
22:29:48        51      50     3605     3297
22:29:49        51      50     3593     3291
22:29:50        51      50     3623     3307
22:29:51        51      50     3605     3317
22:29:52        51      50     3611     3286
22:29:53        51      50     3605     3307
22:29:54        51      50     3593     3307
22:29:55        51      50     3605     3297
22:29:56        51      50     3593     3307
22:29:57        51      50     3623     3307
22:29:58        51      50     3593     3281
22:30:00        51      50     3569     3307
22:30:01        51      50     3599     3281
22:30:02        51      50     3593     3317
22:30:03        51      50     3611     3297
22:30:04        51      49     3617     3307
22:30:05        51      49     3593     3286
22:30:06        51      48     3611     3307
22:30:07        51      48     3581     3286
22:30:08        51      48     3617     3286
22:30:09        51      48     3593     3281
22:30:10        51      48     3587     3297
22:30:11        51      48     3623     3297
22:30:12        51      48     3605     3307
22:30:13        51      48     3599     3291
22:30:14        50      48     3593     3297
22:30:15        50      48     3581     3307
22:30:16        50      48     3593     3297
22:30:17        50      48     3605     3317
22:30:18        50      48     3605     3307
22:30:19        50      48     3593     3297
22:30:20        50      48     3623     3297
22:30:21        50      48     3617     3286
22:30:22        50      48     3605     3307
22:30:23        50      48     3605     3332
22:30:24        50      48     3581     3317
22:30:25        50      48     3575     3317
22:30:26        50      48     3587     3317
22:30:27        50      48     3605     3307
22:30:28        50      48     3593     3297
22:30:29        49      48     3611     3291
22:30:30        49      48     3605     3281
22:30:31        49      48     3605     3297
22:30:32        49      48     3581     3291
22:30:33        49      48     3593     3297
22:30:34        49      48     3605     3307
22:30:35        49      48     3605     3317
22:30:36        49      48     3605     3291
22:30:37        49      48     3623     3302
22:30:38        49      48     3605     3291
22:30:39        49      48     3605     3281
22:30:40        49      48     3593     3307
22:30:41        49      48     3599     3302
22:30:42        49      48     3623     3297
22:30:43        49      48     3605     3286
22:30:44        49      48     3605     3297
22:30:45        49      48     3605     3307
22:30:46        49      48     3605     3297
22:30:47        49      48     3593     3307
22:30:48        49      48     3593     3291
22:30:49        49      48     3593     3307
22:30:50        49      48     3593     3297
22:30:51        49      48     3581     3297
22:30:52        49      48     3593     3322
22:30:53        49      48     3605     3297
22:30:54        49      48     3611     3286
22:30:55        49      48     3605     3307
22:30:56        49      48     3593     3291
22:30:57        49      48     3569     3291
22:30:58        49      48     3581     3286
22:30:59        49      48     3599     3307
22:31:00        49      48     3605     3297
22:31:01        49      48     3593     3332
22:31:02        49      48     3611     3322
22:31:04        49      48     3593     3286
22:31:05        49      48     3623     3286
22:31:06        49      48     3581     3307
22:31:07        49      48     3581     3297
22:31:08        49      48     3605     3281
22:31:09        49      48     3593     3291
22:31:10        49      48     3611     3297
22:31:11        49      48     3611     3332
22:31:12        49      48     3593     3317
22:31:13        49      48     3593     3281
22:31:14        49      48     3593     3322
22:31:15        49      48     3599     3327
22:31:16        49      48     3617     3317
22:31:17        49      48     3599     3317
22:31:18        48      48     3581     3307
22:31:19        48      48     3623     3307
22:31:20        48      48     3623     3307
22:31:21        48      48     3605     3307
22:31:22        48      48     3599     3317
22:31:23        48      48     3617     3317
22:31:24        48      48     3599     3297
22:31:25        48      48     3593     3312
22:31:26        48      48     3617     3297
22:31:27        48      48     3593     3291
22:31:28        48      48     3593     3302
22:31:29        48      48     3587     3286
22:31:30        48      48     3581     3291
22:31:31        48      48     3611     3307
22:31:32        48      48     3605     3307
22:31:33        48      48     3593     3297
22:31:34        48      48     3617     3327
22:31:35        48      48     3599     3286
22:31:36        48      48     3599     3297
22:31:37        48      48     3617     3286
22:31:38        48      48     3605     3317
22:31:39        48      48     3611     3307
22:31:40        48      48     3617     3307
22:31:41        48      48     3605     3297
22:31:42        48      48     3593     3307
22:31:43        48      48     3593     3281
22:31:44        48      48     3599     3302
22:31:45        48      48     3605     3297
22:31:46        48      48     3611     3302
22:31:47        48      48     3605     3286
22:31:48        48      48     3599     3307
22:31:49        48      48     3593     3297
22:31:50        47      48     3623     3307
22:31:51        47      48     3593     3291
22:31:52        47      48     3611     3312
22:31:53        47      48     3623     3307
22:31:54        47      48     3581     3281
22:31:55        47      48     3593     3317
22:31:56        47      48     3593     3291
22:31:57        47      48     3605     3307
22:31:58        47      48     3611     3307
22:31:59        47      48     3593     3291
22:32:00        47      48     3611     3307
22:32:01        47      48     3581     3307
22:32:02        47      48     3605     3307
22:32:03        47      48     3605     3307
22:32:04        47      48     3599     3317
22:32:05        47      48     3611     3281
22:32:06        47      48     3605     3317
22:32:08        47      48     3605     3307
22:32:09        47      48     3617     3297
22:32:10        47      48     3611     3317
22:32:11        47      48     3593     3307
22:32:12        47      48     3569     3322
22:32:13        47      48     3569     3317
